date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:56:34	255/255	---MC-	403	error ('Forbidden')	application/xml	date:Tue,%2022%20Oct%202024%2011:26:32%20GMT	https://deepfake-detect.com/robots.txt		(from )
16:56:34	14120/14120	---MCZ	200	added ('OK')	text/html	etag:W/%226a2ae72010feca33376bea5f5879dbe9%22	https://deepfake-detect.com/	C:/My%20Web%20Sites/Deepfake%20Dectection/deepfake-detect.com/index.html	(from )
16:56:34	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2022%20Oct%202024%2011:26:34%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/Deepfake%20Dectection/www.googletagmanager.com/gtm.05445.delayed	(from https://deepfake-detect.com/)
16:56:35	189025/189025	---M--	200	added ('OK')	text/javascript	etag:1447686966461745424	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js?client=ca-pub-1679576114193456	C:/My%20Web%20Sites/Deepfake%20Dectection/pagead2.googlesyndication.com/pagead/js/f2411.txt	(from https://deepfake-detect.com/)
16:56:35	115687/115687	---MCZ	200	added ('OK')	text/javascript	etag:W/%2222408e37866ef0d296d8a35f95078b0f%22	https://client.rum.us-east-1.amazonaws.com/1.2.1/cwr.js	C:/My%20Web%20Sites/Deepfake%20Dectection/client.rum.us-east-1.amazonaws.com/1.2.1/cwr.js	(from https://deepfake-detect.com/)
16:56:36	6097/6097	---M--	200	added ('OK')	image/png	etag:%225b38d7c3b2440d23b6d6b6be041db649%22	https://deepfake-detect.com/assets/img/favicon.png	C:/My%20Web%20Sites/Deepfake%20Dectection/deepfake-detect.com/assets/img/favicon.png	(from https://deepfake-detect.com/)
16:56:36	85611/85611	---M--	200	added ('OK')	image/png	etag:%226f4a2d00531484e5c007eaec7ee1f5f4%22	https://deepfake-detect.com/assets/img/apple-touch-icon.png	C:/My%20Web%20Sites/Deepfake%20Dectection/deepfake-detect.com/assets/img/apple-touch-icon.png	(from https://deepfake-detect.com/)
16:56:37	159521/159521	---MCZ	200	added ('OK')	text/css	etag:W/%22cc1382088863aa74eda6e6c8820df514%22	https://deepfake-detect.com/assets/vendor/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/Deepfake%20Dectection/deepfake-detect.com/assets/vendor/bootstrap/css/bootstrap.min.css	(from https://deepfake-detect.com/)
16:56:37	92214/92214	---MCZ	200	added ('OK')	text/css	etag:W/%22c20821f3c118543467985d0c01114cae%22	https://deepfake-detect.com/assets/vendor/icofont/icofont.min.css	C:/My%20Web%20Sites/Deepfake%20Dectection/deepfake-detect.com/assets/vendor/icofont/icofont.min.css	(from https://deepfake-detect.com/)
16:56:38	61773/61773	---MCZ	200	added ('OK')	text/css	etag:W/%22bf9d94097fe1a67abde8df817d755ae8%22	https://deepfake-detect.com/assets/vendor/boxicons/css/boxicons.min.css	C:/My%20Web%20Sites/Deepfake%20Dectection/deepfake-detect.com/assets/vendor/boxicons/css/boxicons.min.css	(from https://deepfake-detect.com/)
16:56:38	3356/3356	---MCZ	200	added ('OK')	text/css	etag:W/%22b9755c9c2613c455154caf065bd1a94d%22	https://deepfake-detect.com/assets/vendor/owl.carousel/assets/owl.carousel.min.css	C:/My%20Web%20Sites/Deepfake%20Dectection/deepfake-detect.com/assets/vendor/owl.carousel/assets/owl.carousel.min.css	(from https://deepfake-detect.com/)
